379 volleyball+court+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/bazaar+indoor/18.jpg 44
/media/MartinK3TB/Datasets/SUN397/SUN_original/aqueduct/292.jpg 11
==> tmp <==
183 herb+garden
322 ski+lodge
/media/MartinK3TB/Datasets/SUN397/SUN_original/galley/206.jpg 165
/media/MartinK3TB/Datasets/SUN397/SUN_original/tree+farm/101.jpg 363
224 lift+bridge
65 bullring
207 jail+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/cloister+indoor/109.jpg 99
386 water+tower

/media/MartinK3TB/Datasets/SUN397/SUN_original/poolroom+home/84.jpg 286
179 hangar+outdoor
==> standard input <==
14 arrival+gate+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/control+tower+outdoor/426.jpg 110
/media/MartinK3TB/Datasets/SUN397/SUN_original/poolroom+home/60.jpg 286

1 airplane+cabin
/media/MartinK3TB/Datasets/SUN397/SUN_original/abbey/390.jpg 0
/media/MartinK3TB/Datasets/SUN397/SUN_original/ruin/68.jpg 308
147 excavation
378 volleyball+court+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/mosque+outdoor/87.jpg 242
/media/MartinK3TB/Datasets/SUN397/SUN_original/poolroom+home/238.jpg 286
290 pulpit
/media/MartinK3TB/Datasets/SUN397/SUN_original/hospital/13.jpg 187
/media/MartinK3TB/Datasets/SUN397/SUN_original/mansion/270.jpg 231
128 diner+indoor
343 synagogue+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/watering+hole/14.jpg 385
/media/MartinK3TB/Datasets/SUN397/SUN_original/observatory+outdoor/159.jpg 253
/media/MartinK3TB/Datasets/SUN397/SUN_original/aqueduct/275.jpg 11
250 nuclear+power+plant+outdoor
4 amphitheater
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/elevator+interior/33.jpg 143
/media/MartinK3TB/Datasets/SUN397/SUN_original/lecture+room/98.jpg 220
/media/MartinK3TB/Datasets/SUN397/SUN_original/youth+hostel/95.jpg 396
/media/MartinK3TB/Datasets/SUN397/SUN_original/observatory+outdoor/163.jpg 253
/media/MartinK3TB/Datasets/SUN397/SUN_original/crosswalk/179.jpg 121
149 fairway
/media/MartinK3TB/Datasets/SUN397/SUN_original/aqueduct/114.jpg 11

246 movie+theater+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/ruin/176.jpg 308
268 parking+lot
/media/MartinK3TB/Datasets/SUN397/SUN_original/dining+car/183.jpg 132
/media/MartinK3TB/Datasets/SUN397/SUN_original/watering+hole/65.jpg 385

/media/MartinK3TB/Datasets/SUN397/SUN_original/physics+laboratory/138.jpg 275
139 driving+range+outdoor
266 parking+garage+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/observatory+outdoor/137.jpg 253
/media/MartinK3TB/Datasets/SUN397/SUN_original/ruin/219.jpg 308
/media/MartinK3TB/Datasets/SUN397/SUN_original/bookstore/197.jpg 55
/media/MartinK3TB/Datasets/SUN397/SUN_original/fire+station/96.jpg 154
104 coffee+shop
295 railroad+track
119 creek
/media/MartinK3TB/Datasets/SUN397/SUN_original/youth+hostel/47.jpg 396
334 staircase
/media/MartinK3TB/Datasets/SUN397/SUN_original/auditorium/61.jpg 22
/media/MartinK3TB/Datasets/SUN397/SUN_original/bookstore/138.jpg 55
339 sushi+bar
84 cathedral+indoor
==> standard input <==

28 balcony+exterior
==> standard input <==
114 cottage+garden
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/control+tower+outdoor/204.jpg 110
/media/MartinK3TB/Datasets/SUN397/SUN_original/elevator+interior/40.jpg 143
/media/MartinK3TB/Datasets/SUN397/SUN_original/ruin/91.jpg 308
/media/MartinK3TB/Datasets/SUN397/SUN_original/chalet/195.jpg 88
==> standard input <==
211 kennel+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/burial+chamber/86.jpg 66
109 control+room
237 mausoleum
/media/MartinK3TB/Datasets/SUN397/SUN_original/cloister+indoor/173.jpg 99
/media/MartinK3TB/Datasets/SUN397/SUN_original/crosswalk/78.jpg 121
279 playground
36 barndoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/stable/117.jpg 330

==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/tree+farm/71.jpg 363
/media/MartinK3TB/Datasets/SUN397/SUN_original/tree+farm/102.jpg 363
/media/MartinK3TB/Datasets/SUN397/SUN_original/banquet+hall/59.jpg 33
87 cemetery
24 badlands
123 dam
371 veranda
98 cliff
26 baggage+claim
/media/MartinK3TB/Datasets/SUN397/SUN_original/abbey/204.jpg 0
373 viaduct
31 ballroom
/media/MartinK3TB/Datasets/SUN397/SUN_original/theater+indoor+seats/84.jpg 352
/media/MartinK3TB/Datasets/SUN397/SUN_original/ice+shelf/3.jpg 198
/media/MartinK3TB/Datasets/SUN397/SUN_original/bookstore/99.jpg 55
349 tennis+court+outdoor

/media/MartinK3TB/Datasets/SUN397/SUN_original/dining+car/32.jpg 132
/media/MartinK3TB/Datasets/SUN397/SUN_original/physics+laboratory/143.jpg 275
307 rope+bridge
273 pharmacy
==> tmp <==
251 nursery
/media/MartinK3TB/Datasets/SUN397/SUN_original/aqueduct/295.jpg 11
153 fire+escape
/media/MartinK3TB/Datasets/SUN397/SUN_original/auditorium/130.jpg 22
/media/MartinK3TB/Datasets/SUN397/SUN_original/fire+station/261.jpg 154
/media/MartinK3TB/Datasets/SUN397/SUN_original/observatory+outdoor/152.jpg 253
45 bazaar+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/watering+hole/11.jpg 385
/media/MartinK3TB/Datasets/SUN397/SUN_original/stable/142.jpg 330
/media/MartinK3TB/Datasets/SUN397/SUN_original/pantry/461.jpg 264
/media/MartinK3TB/Datasets/SUN397/SUN_original/reception/78.jpg 297
==> tmp <==
257 oil+refinery+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/shopping+mall+indoor/110.jpg 319
/media/MartinK3TB/Datasets/SUN397/SUN_original/tree+farm/15.jpg 363
260 orchard
==> tmp <==
==> tmp <==

196 ice+cream+parlor
325 sky
89 cheese+factory
285 poolroom+establishment
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/auditorium/170.jpg 22
/media/MartinK3TB/Datasets/SUN397/SUN_original/mosque+outdoor/129.jpg 242
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/chalet/235.jpg 88
101 clothing+store
141 electrical+substation
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/mansion/188.jpg 231
/media/MartinK3TB/Datasets/SUN397/SUN_original/physics+laboratory/159.jpg 275
/media/MartinK3TB/Datasets/SUN397/SUN_original/stable/159.jpg 330
/media/MartinK3TB/Datasets/SUN397/SUN_original/shopping+mall+indoor/242.jpg 319
42 batters+box
/media/MartinK3TB/Datasets/SUN397/SUN_original/shopping+mall+indoor/42.jpg 319
/media/MartinK3TB/Datasets/SUN397/SUN_original/bazaar+indoor/41.jpg 44
/media/MartinK3TB/Datasets/SUN397/SUN_original/auditorium/240.jpg 22
/media/MartinK3TB/Datasets/SUN397/SUN_original/mosque+outdoor/180.jpg 242
==> tmp <==
118 covered+bridge+exterior
/media/MartinK3TB/Datasets/SUN397/SUN_original/bazaar+indoor/84.jpg 44
/media/MartinK3TB/Datasets/SUN397/SUN_original/theater+indoor+seats/61.jpg 352
162 forest+road
142 elevator+door
314 sea+cliff
106 conference+center
/media/MartinK3TB/Datasets/SUN397/SUN_original/lecture+room/142.jpg 220
/media/MartinK3TB/Datasets/SUN397/SUN_original/control+tower+outdoor/92.jpg 110
43 bayou
345 television+studio
201 igloo
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/poolroom+home/19.jpg 286
/media/MartinK3TB/Datasets/SUN397/SUN_original/elevator+interior/94.jpg 143
5 amusement+arcade
/media/MartinK3TB/Datasets/SUN397/SUN_original/canyon/132.jpg 77
90 chemistry+lab

152 field+wild
/media/MartinK3TB/Datasets/SUN397/SUN_original/swimming+pool+indoor/35.jpg 341
/media/MartinK3TB/Datasets/SUN397/SUN_original/ice+shelf/122.jpg 198
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/physics+laboratory/123.jpg 275
32 bamboo+forest
27 bakery+shop
/media/MartinK3TB/Datasets/SUN397/SUN_original/greenhouse+outdoor/64.jpg 176
245 mountain+snowy
/media/MartinK3TB/Datasets/SUN397/SUN_original/fire+station/140.jpg 154
370 vegetable+garden
222 library+outdoor
375 village
37 baseball+field
354 throne+room
/media/MartinK3TB/Datasets/SUN397/SUN_original/shopping+mall+indoor/97.jpg 319
282 podium+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/banquet+hall/204.jpg 33
/media/MartinK3TB/Datasets/SUN397/SUN_original/youth+hostel/84.jpg 396
/media/MartinK3TB/Datasets/SUN397/SUN_original/canyon/70.jpg 77
120 crevasse
/media/MartinK3TB/Datasets/SUN397/SUN_original/control+tower+outdoor/137.jpg 110
/media/MartinK3TB/Datasets/SUN397/SUN_original/fire+station/60.jpg 154
/media/MartinK3TB/Datasets/SUN397/SUN_original/abbey/90.jpg 0
173 gift+shop

86 cavern+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/mansion/236.jpg 231
393 wine+cellar+bottle+storage
64 building+facade
377 volcano
==> standard input <==
==> standard input <==
193 house
/media/MartinK3TB/Datasets/SUN397/SUN_original/bazaar+indoor/123.jpg 44
9 apse+indoor
==> tmp <==
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/ruin/148.jpg 308
234 market+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/stable/120.jpg 330
/media/MartinK3TB/Datasets/SUN397/SUN_original/auditorium/174.jpg 22
/media/MartinK3TB/Datasets/SUN397/SUN_original/galley/24.jpg 165
281 plaza
73 campus

